aod_055_mean,aod_055_median,aod_055_point,date,pixel_count
0.32081043656939584,0.343,0.453,2022-03-19,255
0.327,0.327,,2022-03-19,1
0.21431530297843207,0.20600000000000002,,2022-03-21,12
0.26143832391713745,0.272,,2022-03-21,8
0.3215,0.3215,,2022-03-23,2
0.3316666666666666,0.327,,2022-03-23,3
0.010189219712525668,0.0,,2022-03-24,38
0.08152542916733514,0.037,,2022-03-24,25
0.08761671563826313,0.051000000000000004,,2022-03-26,24
0.12310709318497913,0.135,,2022-03-26,2
0.06835482536493115,0.062,,2022-03-26,67
0.13550342900685802,0.17200000000000001,,2022-03-26,16
0.1889418604651163,0.186,,2022-03-26,2
0.08194721088435375,0.064,,2022-03-26,44
0.1845288430464289,0.177,,2022-03-28,146
0.29508903794660984,0.3051838095238095,0.45,2022-03-28,143
1.1396481818181818,1.028,,2022-03-29,8
1.2612760231316729,1.096,,2022-03-29,17
0.2551665074903813,0.254,,2022-04-03,142
0.27886694283347135,0.28400000000000003,,2022-04-03,116
0.13451864013907672,0.135,,2022-04-04,102
0.19208453161662953,0.188,,2022-04-04,65
0.42,0.42,,2022-04-05,1
0.3618396926220405,0.352,,2022-04-20,88
0.49520066889632114,0.481,,2022-04-20,30
0.33428963148032487,0.34400000000000003,0.364,2022-04-21,124
0.26930306513409974,0.269,,2022-04-21,30
0.3476304963756118,0.358,0.382,2022-04-21,105
0.2969705139005897,0.298,,2022-04-21,32
0.26902325211020867,0.271,,2022-04-22,25
0.419,0.419,,2022-04-22,1
0.3278947262883497,0.322,,2022-04-22,20
0.3633470480668757,0.3666666666666667,,2022-04-23,91
0.40146498100664757,0.402,,2022-04-23,33
0.40658553841799916,0.39333333333333337,,2022-04-23,84
0.4003986322838011,0.40900000000000003,,2022-04-23,27
0.40355154050969955,0.41600000000000004,,2022-04-24,10
0.3926909871244635,0.362,,2022-04-24,1
0.12982484343212727,0.132,,2022-04-25,98
0.2488843914719534,0.262,,2022-04-25,99
0.404,0.404,,2022-04-27,1
0.435,0.435,,2022-04-27,1
0.26130777903043967,0.25,,2022-04-28,78
0.27073913741438355,0.2625,,2022-04-28,72
0.422,0.422,,2022-05-04,1
0.3615,0.3615,,2022-05-04,2
0.382,0.382,,2022-05-04,1
0.289942082014768,0.294,,2022-05-06,118
0.30719863325740326,0.28800000000000003,,2022-05-06,8
0.3565910965723226,0.371,,2022-05-06,82
0.2535982001058761,0.20600000000000002,,2022-05-06,7
0.4145,0.4145,,2022-05-07,2
0.3965158428390367,0.38,,2022-05-07,3
0.3574940357852883,0.363,,2022-05-09,11
0.17771114329058063,0.171,,2022-05-09,57
0.288238683127572,0.28,,2022-05-09,3
0.18674830438378817,0.176,,2022-05-09,46
0.14080512422360247,0.148,,2022-05-11,10
0.20703817567567573,0.232,,2022-05-11,11
0.24102781023603648,0.263,,2022-05-13,17
0.36575,0.357,,2022-05-13,4
0.434,0.434,,2022-05-13,1
0.32752813163481953,0.34500000000000003,,2022-05-13,8
0.3945,0.3945,,2022-05-13,2
0.4143333333333334,0.425,,2022-05-15,3
0.364103347178109,0.377,,2022-05-15,16
0.377,0.377,,2022-05-15,1
0.34628571428571425,0.324,,2022-05-15,7
0.12197007972487096,0.13769482288828339,,2022-05-20,124
0.14541490220428432,0.157,,2022-05-20,61
0.18172734810794516,0.17066666666666666,,2022-05-20,104
0.15995221731304207,0.155,,2022-05-20,23
0.37832981121442644,0.376,,2022-05-24,29
0.4133024479524135,0.41500000000000004,,2022-05-24,18
0.29856966025809845,0.304,,2022-05-31,14
0.432,0.432,,2022-05-31,1
0.3314308664735317,0.333,,2022-05-31,14
0.11271262782401897,0.08461009174311929,,2022-06-05,81
0.13998216644649938,0.159,,2022-06-05,24
0.17522465058920256,0.15,,2022-06-05,57
0.14100660676532775,0.11800000000000001,,2022-06-05,15
0.3760411700975081,0.387,,2022-06-06,6
0.35,0.35,,2022-06-06,2
0.1004629861207602,0.101,,2022-06-07,253
0.20371421498089082,0.20265400271370423,0.292,2022-06-07,254
0.15150369395310573,0.146,,2022-06-09,236
0.24275638880094072,0.23966666666666667,0.312,2022-06-09,258
0.321,0.321,,2022-06-13,1
0.34700000000000003,0.34700000000000003,,2022-06-13,1
0.2777150666211137,0.316,,2022-06-14,12
0.23920102846209032,0.259,,2022-06-14,66
0.3975,0.3975,,2022-06-14,2
0.2383140817192139,0.233,,2022-06-14,56
0.40094619205298015,0.40700000000000003,,2022-06-15,5
0.391,0.391,,2022-06-15,1
0.3709543372752751,0.376,,2022-06-19,57
0.15548778300829413,0.147,,2022-06-19,52
0.5226893203883497,0.51,,2022-06-19,45
0.30489390040865744,0.316,,2022-06-19,51
0.18218758094199436,0.193,,2022-06-21,59
0.36261406155703074,0.336,,2022-06-21,12
0.31842807311287835,0.334,,2022-06-21,56
0.37937827943868213,0.394,,2022-06-21,6
