system:index,aod_055_mean,aod_055_median,aod_055_point,date,pixel_count,.geo
MCD19A2_A2021344_h28v07_061_2023152034628_04,0.3282296510168214,0.33299999999999996,,2021-12-10,156,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021345_h28v07_061_2023152040737_02,0.3507953204971969,0.3488298865910607,,2021-12-11,159,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021348_h28v07_061_2023152051145_02,0.38220647773279354,0.386,,2021-12-14,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021349_h28v07_061_2023152053014_01,0.3557094412331407,0.34700000000000003,,2021-12-15,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021349_h28v07_061_2023152053014_02,0.35051880757420667,0.358,,2021-12-15,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021352_h28v07_061_2023152063231_02,0.2931134406589292,0.305,,2021-12-18,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021355_h28v07_061_2023152073720_03,0.24778,0.265,,2021-12-21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021355_h28v07_061_2023152073720_04,0.269,0.269,,2021-12-21,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021356_h28v07_061_2023152080350_01,0.4085,0.4085,,2021-12-22,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021357_h28v07_061_2023152082848_01,0.33183888035500947,0.335,,2021-12-23,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021358_h28v07_061_2023152085326_01,0.3149883160856502,0.3173333333333333,,2021-12-24,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021358_h28v07_061_2023152085326_02,0.3721230403020601,0.375,,2021-12-24,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021359_h28v07_061_2023152091842_03,0.3545700185070944,0.365,,2021-12-25,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021361_h28v07_061_2023152101005_02,0.384,0.384,,2021-12-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021362_h28v07_061_2023152103528_02,0.39458095238095237,0.395,,2021-12-28,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021363_h28v07_061_2023152110255_02,0.27749999999999997,0.27749999999999997,,2021-12-29,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021365_h28v07_061_2023157185022_01,0.1693991234736788,0.15732894736842104,0.23600000000000002,2021-12-31,308,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021365_h28v07_061_2023157185022_02,0.264106558450059,0.257,,2021-12-31,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2022001_h28v07_061_2024225191604_01,0.19101921064052488,0.19837610619469026,0.19,2022-01-01,306,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2022001_h28v07_061_2024225191604_04,0.30724968918358897,0.311,,2022-01-01,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2022002_h28v07_061_2022348222945_01,0.22695156259196045,0.219,0.278,2022-01-02,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2022005_h28v07_061_2022349004833_02,0.38912489415749363,0.39,,2022-01-05,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
