date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
02-03-2021 10:00,2,55.27333333,23.055,106.2310167,643.479,54.04476667,283.3966667,27.78333333,69.46666667
02-03-2021 11:00,2,54.14,24.26833333,87.58251667,1159.179,44.1329,283.8333333,27.60833333,65.945
02-03-2021 12:00,2,51.47,25.085,54.47325,1991.557,38.23596667,307.4133333,27.26833333,62.78166667
02-03-2021 13:00,2,56.50833333,27.20833333,52.83741667,1257.926,40.05523333,313.09,27.18,60.15833333
02-03-2021 14:00,2,61.63166667,29.51333333,53.72076667,908.969,43.63103333,314.4,27.79333333,58.14333333
02-03-2021 15:00,2,63.49333333,30.35833333,53.5899,784.055,43.4742,316.1466667,27.73666667,57.27166667
02-03-2021 16:00,2,79.01333333,36.83166667,60.52583333,817.862,48.1792,329.6833333,27.78166667,58.73833333
02-03-2021 17:00,2,107.5866667,48.31666667,69.71921667,1534.303,55.36216667,419.6366667,28.805,60.405
02-03-2021 18:00,2,71.285,32.29666667,64.71356667,1206.929,52.2255,408.72,29.17,62.01333333
02-03-2021 19:00,2,46.86,21.445,64.90986667,915.272,53.19786667,392.1266667,29.2,63.34166667
02-03-2021 20:00,2,36.36,17.045,63.89565,793.414,53.7311,373.35,29.2,64.815
02-03-2021 21:00,2,30.1,14.735,63.66663333,744.709,53.98203333,366.8,29.2,65.815
02-03-2021 22:00,2,27.75333333,13.885,61.96536667,733.44,53.00966667,366.8,29.20166667,66.36666667
02-03-2021 23:00,2,26.63166667,13.42833333,61.2456,765.91,52.66463333,374.2233333,29.20833333,66.74
03-03-2021 00:00,2,24.365,12.68166667,61.2456,765.528,52.47643333,374.2233333,29.2,67.14333333
03-03-2021 01:00,2,23.685,12.42333333,60.853,760.562,52.57053333,376.8433333,29.2,67.5
03-03-2021 02:00,2,24.02166667,12.42166667,61.86721667,760.18,53.13513333,377.7166667,29.2,67.92333333
03-03-2021 03:00,2,22.75666667,12.115,60.98386667,760.753,52.72736667,386.45,29.18333333,68.275
03-03-2021 04:00,2,22.1,11.86833333,59.6752,773.359,51.81773333,389.5066667,29.11833333,68.62166667
03-03-2021 05:00,2,22.37833333,11.96333333,59.64248333,781.381,52.1314,391.69,29.1,68.94666667
03-03-2021 06:00,2,24.64666667,12.795,59.21716667,834.861,52.1314,396.0566667,29.09833333,69.10666667
03-03-2021 07:00,2,26.26166667,13.28666667,61.70363333,937.428,52.7901,419.6366667,29.17666667,68.98166667
03-03-2021 08:00,2,29.065,14.01666667,66.25125,985.178,54.73483333,419.2,29.30833333,68.68166667
03-03-2021 09:00,2,48.14833333,20.98166667,65.3679,836.198,42.65866667,418.7633333,28.84333333,65.58666667
03-03-2021 10:00,2,58.25666667,27.67166667,47.73361667,825.693,36.47943333,393,27.59333333,59.625
03-03-2021 11:00,2,64.60333333,30.64333333,49.43488333,919.474,37.67136667,407.8466667,27.58,57.50833333
